title,artist,date,School Name,Borough,Medium
1)NORMANDYI  2) FRENCHLINE,Boris Lacroix,1939,P.S. 29 - BROOKLYN,BROOKLYN,SILVER GELATIN PRINT
1)NORMANDYI  2) FRENCHLINE,Boris Lacroix,1939,P.S. 29 - BROOKLYN,BROOKLYN,GOUACHE
1)NORMANDYI  2) FRENCHLINE,Boris Lacroix,1939,P.S. 29 - BROOKLYN,BROOKLYN,INK ON PAPER
1)NORMANDYI  2) FRENCHLINE,Boris Lacroix,1939,P.S. 29 - BROOKLYN,BROOKLYN,GRAPHITE
DR. HERBERT J. LOW,Boris Luban,1936,ERASMUS HALL CAMPUS - K,BROOKLYN,OIL ON CANVAS
"""UNTITLED""",Boris Luban,1936,TILDEN AF - BROOKLYN,BROOKLYN,OIL ON CANVAS
BASKETBALL,Brenda Bench,1935,ABRAHAM LINCOLN HS - K,BROOKLYN,OIL ON MASONITE
HALL OF FAME,Brinsley Tyrrell,,P.S. 15 - BRONX,BRONX,"BRONZE, CAST"
HALL OF FAME,Brinsley Tyrrell,,P.S. 15 - BRONX,BRONX,PLYWOOD
HALL OF FAME,Brinsley Tyrrell,,P.S. 15 - BRONX,BRONX,STEEL
ABSTRACTION,Bruce Gregory,1954,P.S. 34 - MANHATTAN,MANHATTAN,FRESCO SECCO
"""THE PIONEER WOMAN""",Bryant Baker,1931,P.S. 79 - BRONX,BRONX,PLASTER
FREEDOM OF THE FUTURE IN SPACE,Buell Mullen,1976,QUEENS COLL SCL FOR SCI. & MATH-Q,QUEENS,OIL ON BOARD
FREEDOM OF THE FUTURE IN SPACE,Buell Mullen,1976,QUEENS COLL SCL FOR SCI. & MATH-Q,QUEENS,"ALUMINUM, PAINTED, EPOXY"
LANDING ON THE MOON,Buell Mullen,1976,OSSS / DSF - QUEENS,QUEENS,ACRYLIC ON PAPER
"""BUILDING A NATION""",Burnis Day,1991,P.S. 333 - BRONX,BRONX,ACRYLIC ON MASONITE
GARDEN IN A SCHOOL: IMPRESSIONS OF JACKSON HEIGHTS,Cadence Giersbach,2000,I.S. 230 - QUEENS,QUEENS,"METAL, ENAMELED"
PS 4 ONSTAGE,Camille Billops,1995,P.S. 4 - MANHATTAN,MANHATTAN,CERAMIC TILE
GOOD MORNING IN NEW YORK,Camille Billops,1996,P.S. 4 - MANHATTAN,MANHATTAN,CERAMIC TILE
LIBRARY,Camille Billops,,P.S. 4 - MANHATTAN,MANHATTAN,CERAMIC
THE WAR OF THE FIVES,Camille Billops,1975,BOYS & GIRLS HS - K,BROOKLYN,CERAMIC
WHAT DO YOU SEE?,Candida Alvarez,,P.S. 306 - BRONX,BRONX,STAINED GLASS
"""SEAL OF THE CITY OF NEW YORK 1664""",Carl Jennewein,1956,I.S. 44 - MANHATTAN,MANHATTAN,LIMESTONE
YOUTH AIMING HIGH,Carl Jennewein,1959,I.S. 51 - STATEN ISLAND,STATEN ISLAND,BRONZE
"""ADVENTURE"", ""ROMANCE""",Carl Lella,1933,P.S. 148 - QUEENS,QUEENS,OIL ON CANVAS
"""SCIENCE"" AND ""ART""",Carl Lella,1929,BUSHWICK HS - K,BROOKLYN,OIL ON CANVAS
INSPIRATIONAL FORCES OF LIFE.  SEE NOTES...,Carl Lella,1932,THOMAS JEFFERSON HS - K,BROOKLYN,OIL ON CANVAS
FARM YARD,Carlos Anderson,1940,FORT HAMILTON HS - K,BROOKLYN,LITHOGRAPH
